cycle,i_ball_x,i_ball_y,i_ball_speed,i_ball_vel_angle,i_ball_r,i_ball_t,i_pass_origin_x,i_pass_origin_y,i_ball_dist_to_origin,i_expected_receive_position_x,i_expected_receive_position_y,i_receiver_x,i_receiver_y,i_receiver_unum,i_receiver_r,i_receiver_t,i_receiver_relative_to_ball_x,i_receiver_relative_to_ball_y,i_receiver_relative_to_ball_r,i_receiver_relative_to_ball_t,i_player_1_x,i_player_1_y,i_player_2_x,i_player_2_y,i_player_3_x,i_player_3_y,i_player_4_x,i_player_4_y,i_player_5_x,i_player_5_y,i_player_6_x,i_player_6_y,i_player_7_x,i_player_7_y,i_player_8_x,i_player_8_y,i_player_9_x,i_player_9_y,i_player_10_x,i_player_10_y,i_player_11_x,i_player_11_y,o_receive_position_x,o_receive_position_y,o_pass_distance
435,-7.14662,-24.0824,1.39259,-96.8757,25.1204,-106.529,-4.95322,-9.43946,14.8063,-7.47005,-26.7646,-8.52743,-27.6234,10,28.9097,-107.156,-1.38081,-3.541,3.8007,-111.303,49.317,0.0725934,12.0915,-0.0602751,11.8331,-11.6996,8.88897,13.727,8.10655,-20.7929,2.70689,-5.66498,-7.217,7.15878,-2.23914,-12.3593,-11.498,20.213,-8.52743,-27.6234,-7.65761,-8.22029,-7.49955,-26.7521,2.69293
436,-7.31792,-25.4616,1.30638,-97.0803,26.4924,-106.035,-4.95322,-9.43946,16.1957,-7.63031,-27.9767,-8.50115,-27.6413,10,28.919,-107.095,-1.18323,-2.1797,2.48015,-118.495,49.317,0.0725934,12.0074,-0.442407,11.7597,-12.0632,8.83372,13.5945,8.0475,-21.4453,2.51348,-6.30504,-7.73046,6.6921,-2.04793,-12.9455,-11.4988,19.9161,-8.50115,-27.6413,-8.14826,-8.84407,-7.49955,-26.7521,1.30322
437,-7.49955,-26.7521,0,0,27.7834,-105.66,-4.95322,-9.43946,17.4989,-7.49955,-26.7521,-8.1245,-27.483,10,28.6587,-106.469,-0.62495,-0.7309,0.961653,-130.532,49.317,0.0725934,11.9739,-0.626945,11.7977,-12.6221,8.63551,13.179,8.01908,-22.1093,2.27758,-6.96651,-8.18288,6.25212,-1.81792,-13.5311,-11.5129,19.7751,-8.1245,-27.483,-8.66745,-9.45236,-7.49955,-26.7521,0
656,41.7796,-20.4864,1.62407,-114.931,46.532,-26.1208,41.7796,-20.4864,0,39.8466,-24.6448,40.2903,-25.8568,5,47.8736,-32.6908,-1.4893,-5.3704,5.57308,-105.5,50.882,-7.10602,45.0911,-2.82935,46.3312,-10.4301,42.6259,16.3455,40.2903,-25.8568,32.1927,-6.42037,30.7469,4.83487,32.8627,-19.4847,14.4102,21.5265,14.0214,-31.2898,13.2919,-5.46386,39.9156,-24.4654,4.39397
657,41.1215,-21.9118,1.47578,-114.782,46.5951,-28.0511,41.7796,-20.4864,1.56999,39.9214,-24.5111,39.7886,-25.0826,5,47.0348,-32.2272,-1.3329,-3.1708,3.43956,-112.8,50.8907,-7.10637,45.0195,-3.15428,46.2175,-10.5301,42.6761,15.6325,39.7886,-25.0826,32.1119,-6.77597,30.9219,4.36481,32.8645,-19.6727,14.5078,21.3224,14.1396,-31.0227,13.2308,-5.71933,39.9156,-24.4654,2.82402
658,40.5023,-23.2462,1.38285,-114.895,46.6993,-29.8536,41.7796,-20.4864,3.04105,39.9202,-24.5006,39.6038,-24.7973,5,46.7265,-32.0521,-0.8985,-1.5511,1.79254,-120.082,50.894,-7.10681,44.9842,-3.31452,45.7448,-10.5722,42.7087,14.9594,39.6038,-24.7973,32.4028,-7.05032,31.0009,4.134,33.2654,-19.6208,14.5518,21.2191,14.1936,-30.9057,13.5864,-6.09726,39.9156,-24.4654,1.35302
659,39.9156,-24.4654,0,0,46.8168,-31.5053,41.7796,-20.4864,4.39397,39.9156,-24.4654,39.5095,-24.9093,5,46.7063,-32.2299,-0.4061,-0.4439,0.601635,-132.454,50.8953,-7.10695,44.9666,-3.39389,45.1574,-10.5909,42.7283,14.2619,39.5095,-24.9093,32.6729,-7.33827,31.1571,3.69136,33.6349,-19.4871,14.5742,21.1676,13.9158,-30.5094,14.1315,-6.4824,39.9156,-24.4654,0
661,35.6062,-25.547,2.92209,-169.737,43.8229,-35.659,35.6062,-25.547,0,18.7605,-28.5973,13.6303,-29.5868,10,32.5755,-65.265,-21.9759,-4.0398,22.3441,-169.584,50.8961,-7.10704,44.9525,-3.45532,44.7211,-10.5967,42.7529,12.8463,39.4604,-24.9705,32.9419,-7.73254,31.2618,3.37463,34.0755,-19.3259,15.0706,20.3004,13.6303,-29.5868,14.4549,-6.7462,14.7365,-28.932,21.1424
662,32.7351,-26.0709,2.74339,-169.658,41.8483,-38.5345,35.6062,-25.547,2.91851,16.9235,-28.9564,13.5174,-29.3809,10,32.3413,-65.2941,-19.2177,-3.31,19.5007,-170.227,50.8962,-7.10705,44.9505,-3.46592,44.2688,-10.7684,42.7734,12.6075,39.0613,-24.9285,32.9332,-7.72858,31.2784,3.32673,34.1088,-19.3109,15.2167,20.0529,13.5174,-29.3809,14.4952,-6.77783,14.7365,-28.932,18.2246
663,30.0543,-26.437,2.5433,-172.224,40.0272,-41.3362,35.6062,-25.547,5.62278,17.0292,-28.2156,13.4617,-29.2976,10,32.2423,-65.3221,-16.5926,-2.8606,16.8374,-170.218,50.7666,-6.86955,44.5861,-3.55829,43.6989,-10.9735,42.3755,12.4167,38.5236,-24.8527,32.4962,-7.98369,30.9255,3.2679,33.7017,-19.3764,15.2979,19.9235,13.4617,-29.2976,14.0503,-6.88744,14.7365,-28.932,15.5197
664,27.5131,-26.8389,2.41843,-171.012,38.4356,-44.2893,35.6062,-25.547,8.19556,16.9192,-28.5146,13.4367,-29.2609,10,32.1985,-65.3353,-14.0764,-2.422,14.2832,-170.237,50.5746,-6.54581,44.0674,-3.62493,43.0455,-11.2815,41.8257,12.2542,37.9652,-24.7793,32.1243,-8.15427,30.3463,3.21871,33.1371,-19.4394,15.3365,19.8599,13.4367,-29.2609,13.4294,-6.95037,14.7365,-28.932,12.9469
665,25.0891,-27.2802,2.31596,-169.682,37.0631,-47.3958,35.6062,-25.547,10.659,14.9841,-29.1198,13.4253,-29.2447,10,32.179,-65.3417,-11.6638,-1.9645,11.8281,-170.44,50.3855,-6.19254,43.3971,-3.73953,42.3743,-11.6047,41.2135,12.0275,37.7601,-24.7588,31.7984,-8.28664,29.6559,3.13482,32.5489,-19.506,15.2131,19.6437,13.4253,-29.2447,12.7257,-7.12316,14.7365,-28.932,10.4835
666,22.7517,-27.7112,2.23428,-169.552,35.8546,-50.613,35.6062,-25.547,13.0354,16.5476,-28.8552,13.4208,-29.2381,10,32.1712,-65.344,-9.3309,-1.5269,9.455,-170.707,50.2202,-5.85944,42.7283,-3.88393,41.6406,-11.902,40.5789,11.8301,37.293,-24.8217,31.3038,-8.48992,28.9677,3.07315,31.9361,-19.5792,14.9817,19.353,13.4208,-29.2381,11.9784,-7.28818,14.7365,-28.932,8.10764
667,20.5577,-28.1207,2.09795,-169.428,34.8338,-53.8312,35.6062,-25.547,15.267,16.5568,-28.8674,13.9532,-29.2902,10,32.4439,-64.5279,-6.6045,-1.1695,6.70725,-169.958,50.1573,-5.71947,42.0208,-3.99785,40.9064,-12.1801,39.8938,11.6004,36.7574,-24.9766,30.7026,-8.73403,28.2861,3.02235,31.3551,-19.6755,14.8758,19.2027,13.9532,-29.2902,11.2119,-7.37205,14.7365,-28.932,5.87746
668,18.5025,-28.4217,1.95251,-171.667,33.9136,-56.9359,35.6062,-25.547,17.3436,14.7546,-28.9706,14.1901,-29.3089,10,32.5633,-64.1657,-4.3124,-0.8872,4.40272,-168.375,50.1316,-5.66537,41.329,-4.0889,40.17,-12.485,39.2633,11.4341,36.1608,-25.1121,30.0998,-8.96752,27.6009,2.95103,30.7931,-19.7234,14.8237,19.1333,14.1901,-29.3089,10.49,-7.53981,14.7365,-28.932,3.80042
669,16.5863,-28.7033,1.82056,-171.641,33.1509,-59.9784,35.6062,-25.547,19.28,14.7851,-28.968,14.2943,-29.3168,10,32.616,-64.007,-2.292,-0.6135,2.37269,-165.015,50.1218,-5.64177,40.6176,-4.19546,39.4304,-12.7898,38.6051,11.2627,35.5475,-25.1884,29.4649,-9.22471,26.91,2.88622,30.2046,-19.7497,14.3823,19.0115,14.2943,-29.3168,9.74909,-7.67487,14.7365,-28.932,1.86388
670,14.7365,-28.932,0,0,32.4688,-63.008,35.6062,-25.547,21.1424,14.7365,-28.932,13.8268,-29.3802,10,32.4712,-64.7976,-0.9097,-0.4482,1.01412,-153.771,50.1171,-5.63257,39.9048,-4.27008,38.7271,-13.0514,37.9335,11.103,34.9548,-25.327,28.8282,-9.50325,26.217,2.83103,29.5931,-19.82,13.8077,18.8405,13.8268,-29.3802,8.98953,-7.81042,14.7365,-28.932,0
